zone,food_category,day_of_week,hour,month,is_weekend,is_evening,is_morning,zone_ngos_active,listings_in_zone,avg_distance_km,demand_kg,urgency_score,claimed_within_2hrs
Central Delhi,Dairy,4,13,10,0,0,0,12,1,7.4,19.7,0.68,1
Dwarka,Bakery,4,21,12,0,1,0,4,7,9.6,20.9,0.51,0
East Delhi,Bakery,1,13,1,0,0,0,2,5,17.2,9.4,0.49,0
West Delhi,Rice & Grains,5,12,4,1,0,0,9,8,12.8,15.8,0.75,1
Dwarka,Bakery,3,18,1,0,1,0,8,6,8.0,12.8,0.57,0
North Delhi,Dairy,0,20,8,0,1,0,2,4,10.1,10.6,0.46,0
Gurgaon,Rice & Grains,0,18,9,0,1,0,2,4,6.3,5.0,0.55,0
Gurgaon,Fruits & Vegetables,6,15,8,1,0,0,6,1,12.9,5.0,0.43,1
East Delhi,Packaged Goods,6,20,2,1,1,0,3,3,14.3,13.8,0.92,1
East Delhi,Packaged Goods,3,16,8,0,0,0,9,4,16.1,6.5,0.56,1
South Delhi,Fruits & Vegetables,2,11,12,0,0,1,3,2,13.2,15.3,0.67,0
Noida,Cooked Meals,4,18,12,0,1,0,10,3,7.7,17.6,0.52,0
Gurgaon,Cooked Meals,6,11,6,1,0,1,12,3,4.2,15.2,0.76,0
East Delhi,Bakery,6,7,7,1,0,1,9,5,11.8,9.7,0.82,1
South Delhi,Bakery,1,6,10,0,0,0,2,8,9.7,10.8,0.57,0
Dwarka,Dairy,6,6,10,1,0,0,5,4,11.2,15.0,0.63,0
Dwarka,Packaged Goods,3,20,2,0,1,0,2,4,16.1,7.3,0.42,0
Central Delhi,Dairy,5,12,1,1,0,0,2,6,2.1,24.5,0.91,1
North Delhi,Rice & Grains,4,15,6,0,0,0,2,2,8.4,12.5,0.7,0
East Delhi,Bakery,5,15,10,1,0,0,11,3,17.4,18.8,0.78,0
Noida,Cooked Meals,0,15,6,0,0,0,8,2,14.0,10.1,0.42,0
South Delhi,Fruits & Vegetables,3,10,2,0,0,1,6,6,10.2,9.5,0.64,0
West Delhi,Rice & Grains,1,7,2,0,0,1,12,2,9.5,8.8,0.55,0
Central Delhi,Packaged Goods,4,16,5,0,0,0,11,6,16.8,8.8,0.63,0
Dwarka,Dairy,5,21,8,1,1,0,11,4,13.2,15.7,0.76,0
West Delhi,Cooked Meals,0,6,8,0,0,0,3,4,14.7,12.3,0.4,0
Gurgaon,Packaged Goods,0,16,6,0,0,0,12,4,1.7,5.0,0.36,0
West Delhi,Rice & Grains,2,14,2,0,0,0,10,6,14.2,5.0,0.63,1
South Delhi,Rice & Grains,2,16,7,0,0,0,11,1,15.2,23.9,0.84,0
West Delhi,Fruits & Vegetables,6,16,11,1,0,0,9,1,12.2,11.5,0.87,1
Dwarka,Bakery,5,20,9,1,1,0,9,7,16.8,13.8,0.64,0
North Delhi,Dairy,2,16,9,0,0,0,5,6,14.7,8.1,0.56,0
Noida,Cooked Meals,1,14,1,0,0,0,8,3,10.9,8.1,0.57,0
Gurgaon,Bakery,4,9,5,0,0,1,7,1,6.0,7.2,0.42,0
South Delhi,Packaged Goods,1,17,8,0,1,0,6,4,10.2,13.9,0.72,0
East Delhi,Cooked Meals,2,7,4,0,0,1,9,1,14.7,19.0,0.48,0
East Delhi,Bakery,2,21,12,0,1,0,6,6,3.9,5.0,0.61,0
South Delhi,Dairy,5,10,4,1,0,1,9,7,13.3,15.3,0.87,1
South Delhi,Cooked Meals,2,7,11,0,0,1,3,6,9.2,13.9,0.57,0
North Delhi,Cooked Meals,4,15,1,0,0,0,6,4,6.8,16.7,0.73,0
West Delhi,Fruits & Vegetables,2,16,8,0,0,0,6,3,4.1,6.1,0.27,0
South Delhi,Cooked Meals,4,22,2,0,0,0,7,6,6.0,15.3,0.79,1
Central Delhi,Dairy,1,11,2,0,0,1,7,8,2.3,7.6,0.68,1
North Delhi,Packaged Goods,5,7,2,1,0,1,3,7,8.0,10.7,0.76,1
Dwarka,Dairy,2,15,6,0,0,0,12,2,17.6,9.4,0.42,0
Dwarka,Dairy,1,8,12,0,0,1,9,5,12.8,15.7,0.5,0
Dwarka,Packaged Goods,1,13,3,0,0,0,11,5,16.6,5.4,0.33,0
Gurgaon,Bakery,5,16,6,1,0,0,2,2,9.3,6.0,0.53,1
Noida,Packaged Goods,3,11,5,0,0,1,11,3,9.9,5.0,0.57,0
Gurgaon,Rice & Grains,6,9,6,1,0,1,3,5,10.3,5.6,0.53,0
Gurgaon,Dairy,3,13,10,0,0,0,4,8,7.8,14.6,0.44,1
Noida,Bakery,6,19,7,1,1,0,7,4,4.4,8.5,0.75,1
South Delhi,Rice & Grains,5,21,2,1,1,0,9,6,10.7,26.5,1.0,1
Dwarka,Bakery,2,18,2,0,1,0,12,7,6.9,12.7,0.42,0
North Delhi,Cooked Meals,1,10,10,0,0,1,12,1,14.0,26.2,0.59,0
East Delhi,Packaged Goods,4,15,7,0,0,0,9,4,4.9,10.2,0.5,0
Noida,Fruits & Vegetables,4,15,7,0,0,0,7,2,11.1,14.0,0.63,0
Gurgaon,Bakery,6,15,1,1,0,0,10,1,1.5,8.4,0.54,1
Noida,Cooked Meals,6,15,1,1,0,0,11,7,11.8,16.3,0.68,1
Gurgaon,Packaged Goods,3,19,9,0,1,0,4,8,3.8,15.9,0.39,1
Gurgaon,Fruits & Vegetables,6,19,3,1,1,0,12,3,3.7,10.5,0.67,1
South Delhi,Rice & Grains,0,10,12,0,0,1,12,7,17.6,11.1,0.62,0
East Delhi,Cooked Meals,1,19,8,0,1,0,11,7,11.8,22.9,0.56,0
Dwarka,Dairy,3,20,7,0,1,0,4,7,11.5,6.2,0.57,1
Dwarka,Rice & Grains,1,22,5,0,0,0,10,6,2.1,15.8,0.62,0
North Delhi,Dairy,3,17,2,0,1,0,3,3,13.5,19.5,0.51,0
Central Delhi,Packaged Goods,4,8,9,0,0,1,3,4,9.3,5.0,0.73,0
South Delhi,Rice & Grains,5,15,10,1,0,0,7,1,9.2,21.1,0.89,1
Dwarka,Dairy,5,16,7,1,0,0,6,5,4.3,19.0,0.77,1
Central Delhi,Rice & Grains,6,14,1,1,0,0,11,3,11.0,23.7,1.0,1
Central Delhi,Rice & Grains,4,6,5,0,0,0,4,2,15.5,12.1,0.79,1
Central Delhi,Fruits & Vegetables,1,14,5,0,0,0,2,2,11.5,13.0,0.68,0
East Delhi,Rice & Grains,3,17,3,0,1,0,5,8,4.5,22.9,0.65,1
North Delhi,Fruits & Vegetables,0,10,10,0,0,1,4,8,13.9,14.2,0.68,0
Gurgaon,Packaged Goods,1,20,12,0,1,0,5,6,2.4,5.0,0.29,0
Central Delhi,Cooked Meals,0,11,8,0,0,1,6,8,13.8,13.5,0.53,1
West Delhi,Packaged Goods,5,18,8,1,1,0,10,7,1.7,21.2,0.54,1
Dwarka,Packaged Goods,5,16,9,1,0,0,2,2,16.6,6.6,0.6,0
Noida,Packaged Goods,4,14,6,0,0,0,3,5,12.3,6.5,0.48,1
Gurgaon,Packaged Goods,6,13,12,1,0,0,5,6,12.7,10.6,0.52,0
East Delhi,Fruits & Vegetables,4,6,11,0,0,0,3,1,8.3,8.9,0.58,1
South Delhi,Rice & Grains,3,17,4,0,1,0,6,4,2.1,19.8,0.88,0
South Delhi,Cooked Meals,4,12,10,0,0,0,3,2,15.6,20.5,0.82,0
East Delhi,Packaged Goods,5,11,2,1,0,1,6,5,9.2,13.3,0.79,0
South Delhi,Rice & Grains,3,14,7,0,0,0,12,6,5.7,17.1,0.59,0
South Delhi,Fruits & Vegetables,6,7,7,1,0,1,2,5,17.3,22.8,0.81,1
Central Delhi,Bakery,3,8,8,0,0,1,5,7,4.4,9.5,0.68,0
Dwarka,Cooked Meals,1,19,4,0,1,0,3,8,13.3,20.5,0.58,0
South Delhi,Cooked Meals,0,8,10,0,0,1,9,1,16.3,21.3,0.92,0
East Delhi,Rice & Grains,5,6,1,1,0,0,6,3,13.1,17.6,1.0,0
Gurgaon,Dairy,0,22,12,0,0,0,9,8,8.7,10.0,0.29,0
South Delhi,Dairy,1,6,7,0,0,0,9,2,10.9,18.2,0.73,0
Noida,Fruits & Vegetables,5,15,7,1,0,0,12,2,7.5,16.9,0.74,1
Noida,Cooked Meals,6,20,5,1,1,0,4,1,17.5,17.5,0.63,1
West Delhi,Fruits & Vegetables,5,18,2,1,1,0,7,8,2.9,15.3,0.64,1
Dwarka,Rice & Grains,1,10,1,0,0,1,11,4,9.6,8.0,0.6,1
South Delhi,Dairy,5,15,8,1,0,0,9,1,2.1,28.5,0.93,1
North Delhi,Fruits & Vegetables,6,7,7,1,0,1,12,8,17.0,10.2,0.82,1
East Delhi,Rice & Grains,4,13,2,0,0,0,4,8,12.3,17.7,0.53,1
Dwarka,Dairy,0,13,12,0,0,0,2,3,11.9,8.1,0.52,0
Central Delhi,Cooked Meals,3,11,10,0,0,1,3,2,9.7,14.8,0.79,1
West Delhi,Cooked Meals,6,12,7,1,0,0,12,7,6.8,16.2,0.84,1
East Delhi,Fruits & Vegetables,6,12,1,1,0,0,7,2,3.5,9.2,0.71,0
East Delhi,Packaged Goods,1,17,9,0,1,0,5,1,3.7,12.1,0.44,1
Gurgaon,Bakery,0,21,2,0,1,0,4,2,13.2,16.2,0.38,1
Central Delhi,Packaged Goods,5,21,12,1,1,0,4,5,10.1,16.6,0.87,1
Gurgaon,Bakery,1,7,10,0,0,1,9,2,11.8,5.0,0.24,1
Central Delhi,Fruits & Vegetables,3,6,9,0,0,0,3,2,11.7,5.1,0.78,1
West Delhi,Packaged Goods,6,12,5,1,0,0,3,3,12.8,5.6,0.91,1
Dwarka,Packaged Goods,1,11,11,0,0,1,2,6,6.2,5.0,0.44,0
Gurgaon,Fruits & Vegetables,2,20,1,0,1,0,2,3,4.1,16.5,0.65,1
North Delhi,Packaged Goods,4,9,2,0,0,1,9,6,8.4,18.0,0.62,0
Noida,Bakery,6,9,6,1,0,1,5,7,15.9,15.1,0.7,1
Gurgaon,Bakery,0,21,10,0,1,0,8,3,5.1,11.5,0.36,0
Dwarka,Bakery,3,17,3,0,1,0,5,6,17.6,5.2,0.47,1
West Delhi,Fruits & Vegetables,1,7,12,0,0,1,6,3,3.3,9.0,0.48,0
Dwarka,Packaged Goods,3,11,6,0,0,1,6,3,14.5,9.5,0.52,1
East Delhi,Dairy,4,13,2,0,0,0,10,8,15.7,10.8,0.71,0
West Delhi,Dairy,3,20,5,0,1,0,8,4,5.6,6.8,0.52,1
Gurgaon,Dairy,1,10,10,0,0,1,8,1,2.2,5.0,0.28,0
Dwarka,Rice & Grains,6,22,1,1,0,0,8,8,14.9,13.4,0.73,1
South Delhi,Packaged Goods,3,13,2,0,0,0,2,7,17.2,16.6,0.66,0
East Delhi,Fruits & Vegetables,2,13,11,0,0,0,2,8,12.5,5.0,0.74,0
East Delhi,Rice & Grains,3,6,8,0,0,0,4,7,4.6,17.8,0.65,0
Noida,Rice & Grains,3,6,11,0,0,0,7,1,6.4,7.9,0.42,1
Central Delhi,Rice & Grains,4,12,11,0,0,0,7,1,10.0,13.4,0.8,1
Noida,Cooked Meals,0,18,6,0,1,0,2,6,7.5,22.4,0.7,0
South Delhi,Dairy,5,12,3,1,0,0,5,2,12.2,17.7,0.78,0
West Delhi,Rice & Grains,6,13,6,1,0,0,6,7,6.1,15.8,0.59,1
South Delhi,Fruits & Vegetables,2,20,8,0,1,0,3,8,13.2,19.2,0.66,1
Central Delhi,Packaged Goods,4,17,11,0,1,0,3,4,16.2,8.7,0.42,0
Dwarka,Cooked Meals,0,18,3,0,1,0,3,2,4.2,16.9,0.52,1
South Delhi,Rice & Grains,1,21,3,0,1,0,10,1,6.3,15.2,0.43,0
East Delhi,Packaged Goods,2,19,8,0,1,0,2,5,4.6,8.3,0.65,0
North Delhi,Bakery,6,22,11,1,0,0,11,6,12.3,21.0,0.7,1
Noida,Packaged Goods,4,22,9,0,0,0,6,3,16.3,5.0,0.45,0
Central Delhi,Bakery,6,14,4,1,0,0,6,1,3.9,10.5,0.85,1
Central Delhi,Packaged Goods,1,11,12,0,0,1,4,3,15.3,13.2,0.7,0
East Delhi,Bakery,1,9,1,0,0,1,11,3,8.8,8.8,0.5,0
Noida,Bakery,1,7,11,0,0,1,7,3,7.7,5.0,0.36,0
East Delhi,Dairy,2,9,1,0,0,1,9,3,17.1,10.3,0.6,0
Noida,Bakery,0,22,6,0,0,0,6,8,16.3,11.1,0.36,0
East Delhi,Dairy,5,20,6,1,1,0,9,1,3.8,26.4,0.74,1
South Delhi,Fruits & Vegetables,0,18,10,0,1,0,9,6,3.0,17.4,0.6,0
North Delhi,Dairy,5,12,10,1,0,0,6,4,1.9,5.0,0.88,1
Dwarka,Rice & Grains,5,8,9,1,0,1,9,6,11.5,18.9,0.72,1
North Delhi,Rice & Grains,2,18,3,0,1,0,8,6,7.9,16.7,0.67,0
North Delhi,Fruits & Vegetables,2,17,5,0,1,0,10,2,5.1,5.8,0.52,0
Dwarka,Rice & Grains,3,20,5,0,1,0,8,7,3.8,16.8,0.42,1
South Delhi,Bakery,1,15,8,0,0,0,10,6,2.6,13.2,0.51,0
Gurgaon,Cooked Meals,0,19,11,0,1,0,8,3,10.7,14.0,0.52,0
East Delhi,Bakery,1,18,5,0,1,0,2,5,15.3,5.0,0.64,0
Central Delhi,Packaged Goods,4,20,4,0,1,0,2,3,5.8,7.4,0.49,1
Dwarka,Cooked Meals,5,15,7,1,0,0,12,4,2.0,16.4,0.89,1
Central Delhi,Packaged Goods,0,17,10,0,1,0,8,5,11.9,6.0,0.58,1
Dwarka,Rice & Grains,6,9,6,1,0,1,11,1,15.4,17.4,0.81,1
East Delhi,Dairy,0,10,6,0,0,1,4,6,4.2,12.3,0.53,0
Central Delhi,Fruits & Vegetables,3,17,1,0,1,0,10,2,10.0,12.4,0.66,1
East Delhi,Cooked Meals,4,11,9,0,0,1,7,5,6.0,8.9,0.33,1
Noida,Cooked Meals,4,17,3,0,1,0,10,5,7.7,15.2,0.64,1
Dwarka,Packaged Goods,2,11,2,0,0,1,10,4,15.2,5.0,0.32,1
South Delhi,Packaged Goods,3,8,2,0,0,1,2,8,7.2,13.0,0.81,0
Noida,Bakery,6,20,10,1,1,0,7,3,13.2,11.9,0.57,1
North Delhi,Rice & Grains,6,9,4,1,0,1,4,4,6.6,18.5,0.96,1
West Delhi,Bakery,0,19,12,0,1,0,3,2,1.8,6.9,0.42,0
Dwarka,Packaged Goods,0,12,2,0,0,0,12,1,9.2,5.0,0.33,1
Central Delhi,Cooked Meals,0,15,11,0,0,0,3,2,16.7,17.6,0.89,1
West Delhi,Dairy,1,11,11,0,0,1,3,3,15.5,12.2,0.51,1
Central Delhi,Dairy,2,17,3,0,1,0,11,4,9.8,16.2,0.51,0
South Delhi,Cooked Meals,6,6,9,1,0,0,5,5,4.3,29.6,0.94,1
North Delhi,Rice & Grains,0,12,9,0,0,0,9,6,13.0,11.7,0.94,0
East Delhi,Packaged Goods,5,9,3,1,0,1,8,7,5.0,11.5,0.6,0
West Delhi,Packaged Goods,0,16,2,0,0,0,10,3,9.7,5.0,0.56,0
Noida,Rice & Grains,2,7,2,0,0,1,3,7,6.2,10.5,0.38,0
Central Delhi,Rice & Grains,6,20,4,1,1,0,6,7,4.6,32.4,0.83,1
South Delhi,Packaged Goods,5,17,3,1,1,0,12,8,12.6,25.7,0.91,1
Gurgaon,Packaged Goods,4,8,2,0,0,1,8,2,13.7,5.0,0.5,1
East Delhi,Cooked Meals,2,12,6,0,0,0,8,2,5.3,13.3,0.71,1
Gurgaon,Rice & Grains,3,14,12,0,0,0,11,5,14.0,10.5,0.41,0
Gurgaon,Fruits & Vegetables,3,18,8,0,1,0,4,8,3.3,5.6,0.55,0
Central Delhi,Packaged Goods,3,13,11,0,0,0,2,2,13.7,6.8,0.53,0
South Delhi,Packaged Goods,5,6,3,1,0,0,12,6,4.0,7.8,0.84,1
South Delhi,Cooked Meals,5,22,8,1,0,0,5,5,12.4,35.5,0.84,0
Dwarka,Dairy,2,16,9,0,0,0,2,7,16.0,8.9,0.66,0
South Delhi,Packaged Goods,3,16,7,0,0,0,2,1,4.4,8.6,0.65,1
Central Delhi,Rice & Grains,1,21,7,0,1,0,8,8,14.1,14.6,0.74,1
Dwarka,Rice & Grains,4,21,8,0,1,0,4,1,8.0,11.9,0.64,0
Dwarka,Dairy,3,17,5,0,1,0,2,1,3.6,17.4,0.77,1
Noida,Fruits & Vegetables,6,6,11,1,0,0,3,7,7.2,13.4,0.71,1
Noida,Packaged Goods,2,7,11,0,0,1,5,5,11.3,6.5,0.36,1
South Delhi,Fruits & Vegetables,0,16,3,0,0,0,7,1,9.1,15.2,0.65,1
Gurgaon,Dairy,4,19,5,0,1,0,9,1,17.8,10.2,0.6,1
Gurgaon,Dairy,3,16,10,0,0,0,9,2,12.9,5.0,0.58,1
West Delhi,Fruits & Vegetables,3,22,11,0,0,0,11,5,7.5,15.6,0.51,1
Gurgaon,Bakery,3,8,9,0,0,1,6,1,6.4,5.0,0.36,1
Gurgaon,Bakery,4,8,12,0,0,1,3,6,6.0,12.9,0.42,0
Dwarka,Packaged Goods,1,17,2,0,1,0,6,5,8.6,5.0,0.37,0
Noida,Bakery,3,18,5,0,1,0,9,3,16.0,12.7,0.5,0
East Delhi,Dairy,3,12,11,0,0,0,9,5,17.0,9.2,0.53,0
Gurgaon,Dairy,5,7,9,1,0,1,9,3,5.5,9.1,0.57,1
Central Delhi,Packaged Goods,3,16,2,0,0,0,8,5,15.1,16.6,0.54,0
East Delhi,Fruits & Vegetables,5,13,7,1,0,0,4,4,2.0,19.7,0.9,1
Central Delhi,Packaged Goods,3,19,7,0,1,0,2,4,4.1,16.0,0.53,1
East Delhi,Cooked Meals,2,14,11,0,0,0,12,1,17.4,15.0,0.62,0
Dwarka,Cooked Meals,0,8,6,0,0,1,3,7,16.3,7.6,0.61,0
South Delhi,Packaged Goods,6,10,4,1,0,1,10,2,10.1,8.0,0.92,1
Central Delhi,Packaged Goods,0,13,10,0,0,0,7,6,15.2,6.2,0.6,1
Gurgaon,Rice & Grains,5,13,7,1,0,0,3,3,5.0,12.8,0.67,1
Central Delhi,Packaged Goods,3,14,10,0,0,0,10,6,13.0,11.4,0.53,1
South Delhi,Fruits & Vegetables,4,19,8,0,1,0,6,3,7.5,21.9,0.54,1
Noida,Fruits & Vegetables,0,7,12,0,0,1,2,4,5.7,8.9,0.67,0
Gurgaon,Fruits & Vegetables,5,17,11,1,1,0,5,8,7.9,7.3,0.58,1
Gurgaon,Fruits & Vegetables,2,8,4,0,0,1,4,8,11.9,10.0,0.47,0
Gurgaon,Cooked Meals,2,8,8,0,0,1,8,6,13.3,11.7,0.57,0
South Delhi,Bakery,5,14,9,1,0,0,8,6,9.0,19.6,0.96,1
North Delhi,Cooked Meals,5,11,11,1,0,1,12,3,1.6,23.6,0.83,1
West Delhi,Rice & Grains,2,16,10,0,0,0,4,4,10.0,14.2,0.76,1
East Delhi,Dairy,5,19,6,1,1,0,4,5,4.4,18.3,0.67,1
Noida,Fruits & Vegetables,1,8,7,0,0,1,8,7,17.1,13.8,0.46,0
West Delhi,Cooked Meals,0,13,2,0,0,0,5,5,13.1,5.0,0.68,0
East Delhi,Cooked Meals,3,19,10,0,1,0,3,6,4.3,14.2,0.62,1
South Delhi,Cooked Meals,5,22,7,1,0,0,9,8,3.5,26.9,0.97,0
West Delhi,Bakery,6,14,5,1,0,0,8,3,8.6,14.5,0.65,0
West Delhi,Dairy,1,15,12,0,0,0,8,3,8.2,12.2,0.51,0
East Delhi,Cooked Meals,2,14,4,0,0,0,5,6,11.1,16.7,0.69,0
Dwarka,Cooked Meals,0,21,3,0,1,0,8,4,13.3,9.6,0.68,0
Gurgaon,Rice & Grains,4,14,2,0,0,0,2,1,7.0,5.4,0.58,1
West Delhi,Packaged Goods,2,7,1,0,0,1,11,7,6.5,8.4,0.63,1
Gurgaon,Rice & Grains,2,10,9,0,0,1,4,5,4.3,7.8,0.46,1
Dwarka,Fruits & Vegetables,3,10,2,0,0,1,10,7,3.8,9.0,0.47,1
South Delhi,Fruits & Vegetables,0,10,8,0,0,1,6,6,16.8,18.8,0.51,0
Central Delhi,Fruits & Vegetables,4,14,9,0,0,0,4,6,13.7,7.5,0.54,1
Dwarka,Bakery,4,20,1,0,1,0,2,4,4.5,14.0,0.64,1
Dwarka,Fruits & Vegetables,1,20,7,0,1,0,9,1,8.8,10.2,0.48,1
Dwarka,Packaged Goods,3,9,12,0,0,1,3,6,3.0,6.4,0.54,0
Central Delhi,Bakery,6,11,12,1,0,1,6,4,11.1,12.4,0.84,1
North Delhi,Dairy,6,11,7,1,0,1,5,8,12.7,22.1,0.84,0
Noida,Cooked Meals,2,9,7,0,0,1,3,6,4.0,11.9,0.65,0
South Delhi,Packaged Goods,6,21,8,1,1,0,6,1,6.9,5.0,0.87,1
North Delhi,Rice & Grains,4,20,6,0,1,0,11,3,5.0,13.1,0.44,0
North Delhi,Rice & Grains,2,16,1,0,0,0,10,7,3.0,15.2,0.76,0
Central Delhi,Bakery,1,18,2,0,1,0,5,3,7.9,13.7,0.72,1
Gurgaon,Fruits & Vegetables,5,10,2,1,0,1,8,5,16.4,18.5,0.78,1
East Delhi,Fruits & Vegetables,5,9,6,1,0,1,9,8,16.1,23.2,0.82,1
Dwarka,Fruits & Vegetables,4,19,2,0,1,0,7,3,8.7,11.1,0.34,0
Gurgaon,Cooked Meals,0,22,6,0,0,0,12,4,12.2,7.8,0.44,0
East Delhi,Packaged Goods,4,22,2,0,0,0,8,2,16.5,17.4,0.46,1
Dwarka,Fruits & Vegetables,1,10,11,0,0,1,5,7,6.4,9.7,0.56,0
North Delhi,Dairy,0,7,9,0,0,1,8,7,3.1,12.5,0.76,1
Central Delhi,Fruits & Vegetables,2,8,9,0,0,1,12,8,4.5,10.9,0.67,1
East Delhi,Packaged Goods,0,8,7,0,0,1,6,6,11.2,5.0,0.34,0
Dwarka,Rice & Grains,3,14,6,0,0,0,4,4,4.6,6.8,0.54,0
Central Delhi,Rice & Grains,0,19,9,0,1,0,8,2,1.7,17.7,0.63,1
Dwarka,Packaged Goods,5,18,11,1,1,0,11,8,6.5,5.0,0.62,0
Noida,Rice & Grains,5,18,5,1,1,0,4,1,4.6,8.9,0.8,1
North Delhi,Rice & Grains,1,6,4,0,0,0,4,4,8.7,13.0,0.47,0
West Delhi,Cooked Meals,2,20,3,0,1,0,2,2,4.2,14.1,0.52,1
East Delhi,Rice & Grains,5,20,8,1,1,0,9,4,4.8,22.9,0.93,1
Gurgaon,Cooked Meals,2,6,2,0,0,0,8,7,15.5,5.0,0.54,0
Central Delhi,Cooked Meals,3,18,8,0,1,0,11,8,5.3,21.3,0.79,1
North Delhi,Dairy,0,19,10,0,1,0,3,5,16.2,15.6,0.51,1
Gurgaon,Packaged Goods,0,21,10,0,1,0,7,8,13.0,5.0,0.3,0
North Delhi,Bakery,2,12,8,0,0,0,5,4,11.2,14.5,0.55,1
Noida,Dairy,6,20,3,1,1,0,8,7,15.2,24.1,0.68,0
Noida,Packaged Goods,6,11,10,1,0,1,3,8,3.6,5.0,0.45,1
West Delhi,Bakery,4,21,2,0,1,0,9,5,5.4,5.0,0.34,0
North Delhi,Cooked Meals,2,14,6,0,0,0,4,1,14.8,15.3,0.7,0
Noida,Packaged Goods,0,13,2,0,0,0,9,5,17.9,5.0,0.49,0
Noida,Cooked Meals,6,14,3,1,0,0,10,2,13.2,11.6,0.76,0
Dwarka,Packaged Goods,6,9,2,1,0,1,11,2,15.1,16.5,0.71,0
North Delhi,Dairy,0,11,11,0,0,1,5,6,4.1,11.0,0.5,1
Central Delhi,Rice & Grains,3,22,8,0,0,0,3,3,12.2,5.0,0.62,0
Noida,Bakery,0,12,8,0,0,0,2,4,15.3,5.4,0.35,0
Dwarka,Fruits & Vegetables,2,22,3,0,0,0,7,7,7.5,7.6,0.51,1
West Delhi,Bakery,6,22,7,1,0,0,4,7,8.3,9.8,0.63,0
Gurgaon,Packaged Goods,6,22,11,1,0,0,2,8,3.9,7.1,0.62,1
North Delhi,Rice & Grains,6,22,2,1,0,0,7,7,17.7,12.2,0.96,1
East Delhi,Packaged Goods,0,18,1,0,1,0,12,3,16.4,8.0,0.48,0
North Delhi,Rice & Grains,5,22,5,1,0,0,12,5,13.4,21.2,0.84,1
Noida,Fruits & Vegetables,0,14,9,0,0,0,4,7,8.9,12.3,0.5,0
West Delhi,Dairy,4,20,12,0,1,0,12,7,14.3,9.4,0.58,1
Central Delhi,Cooked Meals,0,16,7,0,0,0,4,5,5.0,11.3,0.74,0
Central Delhi,Dairy,2,11,1,0,0,1,10,5,5.5,14.8,0.64,1
Central Delhi,Rice & Grains,3,22,2,0,0,0,7,5,11.8,14.7,0.51,0
Noida,Cooked Meals,0,9,8,0,0,1,2,8,7.1,8.3,0.56,1
West Delhi,Rice & Grains,4,13,6,0,0,0,12,3,13.3,11.6,0.47,1
West Delhi,Cooked Meals,2,22,10,0,0,0,7,8,3.1,18.3,0.51,1
Gurgaon,Packaged Goods,0,8,1,0,0,1,4,8,5.0,9.8,0.42,0
South Delhi,Fruits & Vegetables,5,22,7,1,0,0,10,7,15.9,15.7,1.0,1
Dwarka,Rice & Grains,3,20,12,0,1,0,9,7,15.1,6.9,0.64,0
East Delhi,Dairy,1,21,12,0,1,0,10,2,13.0,18.5,0.5,1
Dwarka,Packaged Goods,0,11,9,0,0,1,3,7,3.3,13.0,0.4,0
Noida,Dairy,2,7,9,0,0,1,7,5,17.9,10.2,0.52,1
Central Delhi,Fruits & Vegetables,3,6,3,0,0,0,11,7,2.3,12.1,0.73,1
Central Delhi,Fruits & Vegetables,1,11,12,0,0,1,3,6,2.6,18.0,0.48,1
North Delhi,Packaged Goods,3,15,10,0,0,0,7,7,9.3,13.5,0.33,0
East Delhi,Bakery,4,20,8,0,1,0,4,6,3.0,16.1,0.63,0
Gurgaon,Packaged Goods,1,18,6,0,1,0,12,8,13.6,5.0,0.33,0
South Delhi,Bakery,5,6,10,1,0,0,6,2,12.1,10.9,0.82,1
South Delhi,Bakery,4,7,10,0,0,1,9,1,3.5,11.3,0.72,1
East Delhi,Cooked Meals,2,12,4,0,0,0,11,8,2.9,19.6,0.76,0
Noida,Packaged Goods,4,7,8,0,0,1,2,6,8.7,5.0,0.38,0
Gurgaon,Cooked Meals,6,22,6,1,0,0,3,2,17.7,5.0,0.64,1
East Delhi,Fruits & Vegetables,1,11,5,0,0,1,4,5,17.2,15.5,0.71,0
East Delhi,Cooked Meals,4,16,3,0,0,0,2,5,7.9,6.8,0.57,1
Noida,Bakery,3,16,5,0,0,0,3,1,4.8,6.4,0.47,0
West Delhi,Packaged Goods,4,22,7,0,0,0,6,1,6.8,5.0,0.49,0
Gurgaon,Cooked Meals,3,6,7,0,0,0,2,5,10.6,6.6,0.52,0
South Delhi,Bakery,6,10,5,1,0,1,9,2,15.5,20.7,0.85,1
West Delhi,Bakery,2,11,4,0,0,1,8,8,2.2,6.4,0.48,0
Dwarka,Dairy,2,11,1,0,0,1,9,5,11.4,9.2,0.48,1
Gurgaon,Fruits & Vegetables,6,12,10,1,0,0,6,1,4.2,8.2,0.81,0
South Delhi,Fruits & Vegetables,0,18,12,0,1,0,4,5,16.0,20.4,0.65,1
West Delhi,Dairy,4,16,11,0,0,0,12,5,17.7,13.1,0.51,0
Dwarka,Fruits & Vegetables,1,16,6,0,0,0,11,6,1.8,14.1,0.54,1
East Delhi,Rice & Grains,0,21,1,0,1,0,12,3,8.3,14.7,0.64,0
Dwarka,Packaged Goods,4,8,11,0,0,1,10,1,16.2,5.0,0.31,0
Dwarka,Rice & Grains,0,17,7,0,1,0,7,7,4.4,6.9,0.56,0
